"gmt";"mlat";"mlon";"SST.Min";"SST.Max";"med.temp";"ref";"trip";"birdtrip";"activity"
"2011-01-22  18:00:00";"-43.116667";"147.666667";"NA";"NA";"NA";"19708_jan76558";"1";"19708_jan76558t1";"dry"
"2011-01-22  18:48:00";"-45.76133538";"145.9658082";"14";"14";"NA";"19708_jan76558";"1";"19708_jan76558t1";"dry"
"2011-01-23  10:00:00";"-49.60244275";"143.3853674";"11";"11";"16.38989674";"19708_jan76558";"1";"19708_jan76558t1";"wet"
"2011-01-23  19:08:00";"-51.13172899";"142.0350517";"8";"8";"13.91486592";"19708_jan76558";"1";"19708_jan76558t1";"dry"
"2011-01-24  10:10:00";"-55.79808097";"140.295618";"5";"5";"9.835020605";"19708_jan76558";"1";"19708_jan76558t1";"wet"
"2011-01-24  17:43:00";"-57.05067075";"139.6792827";"1.622910102";"1.622910102";"7.789447191";"19708_jan76558";"1";"19708_jan76558t1";"dry"
"2011-01-25  12:00:00";"-58.12323335";"141.4612196";"1.449221815";"1.449221815";"2.828084047";"19708_jan76558";"1";"19708_jan76558t1";"dry"
"2011-01-25  16:53:00";"-58.32689296";"141.3132691";"1.449221815";"1.449221815";"1.948826524";"19708_jan76558";"1";"19708_jan76558t1";"dry"
"2011-01-26  12:20:00";"-61.71050028";"142.2700852";"1.449221815";"1.449221815";"1.624839972";"19708_jan76558";"1";"19708_jan76558t1";"dry"
"2011-01-26  16:55:00";"-61.91248856";"142.4427653";"1.449221815";"1.449221815";"1.473289993";"19708_jan76558";"1";"19708_jan76558t1";"dry"
"2011-01-27  12:05:00";"-62.16433639";"140.5684392";"1.449221815";"1.449221815";"1.50584551";"19708_jan76558";"1";"19708_jan76558t1";"dry"
"2011-01-27  17:18:00";"-62.22977086";"140.2936386";"1.449221815";"1.449221815";"1.449221815";"19708_jan76558";"1";"19708_jan76558t1";"dry"
"2011-01-28  12:05:00";"-61.50021241";"136.3474656";"1.449221815";"1.449221815";"1.449221815";"19708_jan76558";"1";"19708_jan76558t1";"wet"
"2011-01-28  18:00:00";"-61.38475013";"135.8506463";"1.449221815";"1.449221815";"1.985198845";"19708_jan76558";"1";"19708_jan76558t1";"wet"
"2011-01-29  12:28:00";"-59.89605822";"131.6861514";"1.449221815";"1.449221815";"2.454876312";"19708_jan76558";"1";"19708_jan76558t1";"wet"
