"SURVEY";"Time (UTC)";"LATITUDE";"LONGITUDE";"POSITION_QC";"PROJECT";"MARLIN";"SALINITY";"SALINITY_QC";"SEA_SURFACE_TEMP";"SEA_SURFACE_TEMP_QC";"AIR_TEMP";"AIR_TEMP_QC"
"FR199503";"1995-04-01 00:00:00";"-32.053";"115.742";"32";"1533";"4739";"36.5";"32";"21.99";"32";"18.2";"32"
"FR199503";"1995-04-01 00:05:00";"-32.053";"115.742";"32";"1533";"4739";"36.49";"32";"22.03";"32";"18.2";"32"
"FR199503";"1995-04-01 00:10:00";"-32.053";"115.742";"32";"1533";"4739";"36.46";"32";"22.09";"32";"18.2";"32"
"FR199503";"1995-04-01 00:15:00";"-32.052";"115.742";"32";"1533";"4739";"36.46";"32";"22.14";"32";"18.6";"32"
"FR199503";"1995-04-01 00:25:00";"-32.054";"115.737";"32";"1533";"4739";"36.46";"32";"22.27";"32";"18.9";"32"
"FR199503";"1995-04-01 00:30:00";"-32.055";"115.725";"32";"1533";"4739";"36.47";"32";"22.36";"32";"19";"32"
"FR199503";"1995-04-01 00:35:00";"-32.052";"115.717";"32";"1533";"4739";"36.49";"32";"22.42";"32";"18.6";"32"
"FR199503";"1995-04-01 00:40:00";"-32.047";"115.712";"32";"1533";"4739";"36.47";"32";"22.5";"32";"18.8";"32"
"FR199503";"1995-04-01 00:45:00";"-32.042";"115.711";"32";"1533";"4739";"36.46";"32";"22.57";"32";"18.9";"32"
"FR199503";"1995-04-01 00:50:00";"-32.046";"115.709";"32";"1533";"4739";"36.47";"32";"22.67";"32";"18.9";"32"
"FR199503";"1995-04-01 00:55:00";"-32.051";"115.709";"32";"1533";"4739";"36.47";"32";"22.74";"32";"19.1";"32"
"FR199503";"1995-04-01 01:00:00";"-32.052";"115.712";"32";"1533";"4739";"36.45";"32";"22.86";"32";"19.2";"32"
"FR199503";"1995-04-01 01:05:00";"-32.049";"115.709";"32";"1533";"4739";"36.44";"32";"22.88";"32";"19.6";"32"
"FR199503";"1995-04-01 01:10:00";"-32.048";"115.708";"32";"1533";"4739";"36.44";"32";"22.97";"32";"19.3";"32"
"FR199503";"1995-04-01 01:15:00";"-32.05";"115.708";"32";"1533";"4739";"36.44";"32";"23.08";"32";"19.5";"32"
"FR199503";"1995-04-01 01:20:00";"-32.049";"115.705";"32";"1533";"4739";"36.45";"32";"23.17";"32";"19.6";"32"
"FR199503";"1995-04-01 01:25:00";"-32.047";"115.701";"32";"1533";"4739";"36.44";"32";"23.24";"32";"19.7";"32"
"FR199503";"1995-04-01 01:30:00";"-32.051";"115.7";"32";"1533";"4739";"36.44";"32";"23.34";"32";"19.9";"32"
"FR199503";"1995-04-01 01:35:00";"-32.05";"115.694";"32";"1533";"4739";"36.44";"32";"23.45";"32";"19.8";"32"
"FR199503";"1995-04-01 01:40:00";"-32.044";"115.686";"32";"1533";"4739";"36.24";"32";"22.83";"32";"20";"32"
"FR199503";"1995-04-01 01:45:00";"-32.038";"115.678";"32";"1533";"4739";"36.26";"32";"22.48";"32";"20.1";"32"
"FR199503";"1995-04-01 01:50:00";"-32.031";"115.669";"32";"1533";"4739";"36.14";"32";"22.22";"32";"20.2";"32"
"FR199503";"1995-04-01 01:55:00";"-32.023";"115.657";"32";"1533";"4739";"36.12";"32";"22.11";"32";"20.4";"32"
"FR199503";"1995-04-01 02:00:00";"-32.016";"115.645";"32";"1533";"4739";"36.12";"32";"22.04";"32";"20.3";"32"
"FR199503";"1995-04-01 02:05:00";"-32.007";"115.632";"32";"1533";"4739";"36.14";"32";"22.03";"32";"20.5";"32"
"FR199503";"1995-04-01 02:10:00";"-31.998";"115.619";"32";"1533";"4739";"36.11";"32";"22.03";"32";"20.6";"32"
"FR199503";"1995-04-01 02:15:00";"-31.989";"115.606";"32";"1533";"4739";"36.08";"32";"22.05";"32";"20.5";"32"
"FR199503";"1995-04-01 02:20:00";"-31.98";"115.591";"32";"1533";"4739";"36.1";"32";"22.05";"32";"20.7";"32"
"FR199503";"1995-04-01 02:25:00";"-31.97";"115.576";"32";"1533";"4739";"36.07";"32";"22.21";"32";"20.7";"32"
"FR199503";"1995-04-01 02:30:00";"-31.964";"115.562";"32";"1533";"4739";"36.02";"32";"22.32";"32";"20.5";"32"
"FR199503";"1995-04-01 02:35:00";"-31.962";"115.554";"32";"1533";"4739";"36.01";"32";"22.35";"32";"20.7";"32"
"FR199503";"1995-04-01 02:40:00";"-31.96";"115.546";"32";"1533";"4739";"35.99";"32";"22.35";"32";"20.8";"32"
"FR199503";"1995-04-01 02:45:00";"-31.957";"115.531";"32";"1533";"4739";"36";"32";"22.34";"32";"21.2";"32"
"FR199503";"1995-04-01 02:50:00";"-31.951";"115.515";"32";"1533";"4739";"35.92";"32";"22.41";"32";"21.7";"32"
"FR199503";"1995-04-01 02:55:00";"-31.947";"115.496";"32";"1533";"4739";"35.86";"32";"22.53";"32";"21.8";"32"
"FR199503";"1995-04-01 03:00:00";"-31.943";"115.478";"32";"1533";"4739";"35.86";"32";"22.56";"32";"21.5";"32"
"FR199503";"1995-04-01 03:05:00";"-31.939";"115.46";"32";"1533";"4739";"35.84";"32";"22.56";"32";"21.6";"32"
"FR199503";"1995-04-01 03:10:00";"-31.935";"115.442";"32";"1533";"4739";"35.83";"32";"22.56";"32";"21.7";"32"
"FR199503";"1995-04-01 03:15:00";"-31.93";"115.425";"32";"1533";"4739";"35.82";"32";"22.56";"32";"21.7";"32"
"FR199503";"1995-04-01 03:20:00";"-31.927";"115.406";"32";"1533";"4739";"35.76";"32";"22.66";"32";"21.7";"32"
"FR199503";"1995-04-01 03:25:00";"-31.923";"115.388";"32";"1533";"4739";"35.71";"32";"22.84";"32";"22.1";"32"
"FR199503";"1995-04-01 03:30:00";"-31.919";"115.37";"32";"1533";"4739";"35.74";"32";"23.02";"32";"22.3";"32"
"FR199503";"1995-04-01 03:35:00";"-31.916";"115.352";"32";"1533";"4739";"35.67";"32";"23.27";"32";"22.8";"32"
"FR199503";"1995-04-01 03:40:00";"-31.912";"115.334";"32";"1533";"4739";"35.65";"32";"23.55";"32";"22.9";"32"
