"SURVEY";"Start (UTC)";"MEAN_LAT";"MEAN_LON";"PROJECT";"MarLIN";"Averaging Period (sec)";"U Ship (m/sec)";"V Ship (m/sec)";"Bottom depth";"Depth";"U (m/sec)";"V (m/sec)";"Avg QC";"Bin Attendance %"
"FR199501";"1995-01-11 05:40:00";"-27.664";"113.843";"National Facility External Users: P. Holloway (ADFA)";"4705";"1200";"-2.86";"5.74";"54";"16.8";"-0.09";"0.14";"8.3";"88"
"FR199501";"1995-01-11 05:40:00";"-27.664";"113.843";"National Facility External Users: P. Holloway (ADFA)";"4705";"1200";"-2.86";"5.74";"54";"40.8";"-0.02";"0.08";"6.9";"98"
"FR199501";"1995-01-11 05:40:00";"-27.664";"113.843";"National Facility External Users: P. Holloway (ADFA)";"4705";"1200";"-2.86";"5.74";"54";"32.8";"-0.05";"0.1";"7";"98"
"FR199501";"1995-01-11 05:40:00";"-27.664";"113.843";"National Facility External Users: P. Holloway (ADFA)";"4705";"1200";"-2.86";"5.74";"54";"24.8";"-0.09";"0.14";"6.8";"98"
"FR199501";"1995-01-11 06:00:00";"-27.602";"113.809";"National Facility External Users: P. Holloway (ADFA)";"4705";"1200";"-2.77";"5.69";"57";"16.8";"-0.02";"0.11";"8.1";"84"
"FR199501";"1995-01-11 06:00:00";"-27.602";"113.809";"National Facility External Users: P. Holloway (ADFA)";"4705";"1200";"-2.77";"5.69";"57";"24.8";"-0.02";"0.08";"6.5";"98"
"FR199501";"1995-01-11 06:00:00";"-27.602";"113.809";"National Facility External Users: P. Holloway (ADFA)";"4705";"1200";"-2.77";"5.69";"57";"32.8";"0.02";"0.04";"6.6";"98"
"FR199501";"1995-01-11 06:00:00";"-27.602";"113.809";"National Facility External Users: P. Holloway (ADFA)";"4705";"1200";"-2.77";"5.69";"57";"40.8";"0.05";"0";"6.3";"98"
"FR199501";"1995-01-11 06:00:00";"-27.54";"113.775";"National Facility External Users: P. Holloway (ADFA)";"4705";"3600";"-2.81";"5.73";"60";"48.8";"0.07";"0.04";"6.9";"32"
"FR199501";"1995-01-11 06:00:00";"-27.54";"113.775";"National Facility External Users: P. Holloway (ADFA)";"4705";"3600";"-2.81";"5.73";"60";"16.8";"-0.06";"0.14";"8.1";"86"
