"SURVEY_NAME";"INSTRUMENT";"LEG";"PROJECT_ID";"MARLIN_ID";"TIME (UTC)";"LATITUDE";"LONGITUDE";"PRESSURE";"TEMPERATURE";"TEMPERATURE_QC";"SALINITY";"SALINITY_QC";"SIGMA";"WATER_DEPTH";"OXYGEN";"PITCH";"FLUORESCENCE";"LIGHT"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:18:25";"-12.16467";"130.28267";"1.1";"30.128";"";"34.868";"";"21.586";"46";"";"";"";"313.2537"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:18:34";"-12.16433";"130.28267";"1.2";"30.127";"";"34.868";"";"21.586";"46";"";"";"";"299.2784"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:18:43";"-12.16417";"130.28267";"2";"30.121";"";"34.869";"";"21.589";"46";"";"";"";"267.7771"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:18:53";"-12.16383";"130.28267";"2.2";"30.132";"";"34.867";"";"21.584";"46";"";"";"";"239.7508"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:19:03";"-12.16367";"130.28267";"1.9";"30.127";"";"34.868";"";"21.586";"46";"";"";"";"254.3012"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:19:09";"-12.1635";"130.28267";"2.2";"30.131";"";"34.868";"";"21.585";"46";"";"";"";"250.3373"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:19:12";"-12.1635";"130.28267";"3";"30.133";"";"34.867";"";"21.584";"46";"";"";"";"240.3056"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:19:15";"-12.16333";"130.28267";"3.9";"30.135";"";"34.868";"";"21.584";"46";"";"";"";"196.6211"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:19:20";"-12.16333";"130.28267";"5.1";"30.122";"";"34.87";"";"21.59";"46";"";"";"";"150.8411"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:19:28";"-12.16317";"130.28267";"5.8";"30.121";"";"34.87";"";"21.59";"46";"";"";"";"122.1674"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:19:38";"-12.16283";"130.28267";"6";"30.123";"";"34.87";"";"21.589";"46";"";"";"";"118.7135"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:19:48";"-12.16267";"130.28267";"6";"30.125";"";"34.87";"";"21.589";"46";"";"";"";"119.149"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:19:58";"-12.1625";"130.28267";"6.1";"30.125";"";"34.87";"";"21.589";"46";"";"";"";"112.8039"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:20:06";"-12.16233";"130.28267";"6.3";"30.122";"";"34.871";"";"21.59";"46";"";"";"";"108.9604"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:20:13";"-12.16217";"130.28267";"6.7";"30.121";"";"34.872";"";"21.591";"46";"";"";"";"97.4335"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:20:23";"-12.16183";"130.28267";"6.8";"30.122";"";"34.871";"";"21.59";"46";"";"";"";"92.7803"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:20:33";"-12.16167";"130.28267";"6.9";"30.131";"";"34.87";"";"21.587";"46";"";"";"";"94.4434"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:20:43";"-12.1615";"130.28267";"7.1";"30.123";"";"34.871";"";"21.59";"46";"";"";"";"90.1206"
"FR199509";"SeaSoar";"fr0995002";"106";"8334";"22/11/1995 07:20:53";"-12.16117";"130.28267";"7.1";"30.122";"";"34.871";"";"21.59";"46";"";"";"";"84.4091"
