"SURVEY";"STATION";"Start (UTC)";"Depth min (m)";"Depth max (m)";"START_LAT";"START_LON";"PROJECT";"MARLIN_ID";"DEPTH_METRES";"TEMPERATURE";"TEMPERATURE_QC"
"FR199503";"1";"1995-04-01 03:27:00";"";"";"-31.9217";"115.3807";"Climate Change 1989-1997";"4738";"5";"22.8";""
"FR199503";"1";"1995-04-01 03:27:00";"";"";"-31.9217";"115.3807";"Climate Change 1989-1997";"4738";"10";"22.9";""
"FR199503";"1";"1995-04-01 03:27:00";"";"";"-31.9217";"115.3807";"Climate Change 1989-1997";"4738";"15";"23";""
"FR199503";"1";"1995-04-01 03:27:00";"";"";"-31.9217";"115.3807";"Climate Change 1989-1997";"4738";"20";"22.8";""
"FR199503";"1";"1995-04-01 03:27:00";"";"";"-31.9217";"115.3807";"Climate Change 1989-1997";"4738";"25";"22.6";""
"FR199503";"1";"1995-04-01 03:27:00";"";"";"-31.9217";"115.3807";"Climate Change 1989-1997";"4738";"30";"22.6";""
"FR199503";"1";"1995-04-01 03:27:00";"";"";"-31.9217";"115.3807";"Climate Change 1989-1997";"4738";"35";"22.5";""
"FR199503";"1";"1995-04-01 03:27:00";"";"";"-31.9217";"115.3807";"Climate Change 1989-1997";"4738";"40";"22.4";""
"FR199503";"1";"1995-04-01 03:27:00";"";"";"-31.9217";"115.3807";"Climate Change 1989-1997";"4738";"45";"22.4";""
"FR199503";"1";"1995-04-01 03:27:00";"";"";"-31.9217";"115.3807";"Climate Change 1989-1997";"4738";"50";"22.4";""
"FR199503";"2";"1995-04-01 04:05:00";"";"";"-31.8935";"115.2415";"Climate Change 1989-1997";"4738";"5";"23.9";""
"FR199503";"2";"1995-04-01 04:05:00";"";"";"-31.8935";"115.2415";"Climate Change 1989-1997";"4738";"10";"23.9";""
"FR199503";"2";"1995-04-01 04:05:00";"";"";"-31.8935";"115.2415";"Climate Change 1989-1997";"4738";"15";"24.1";""
"FR199503";"2";"1995-04-01 04:05:00";"";"";"-31.8935";"115.2415";"Climate Change 1989-1997";"4738";"20";"24.1";""
"FR199503";"2";"1995-04-01 04:05:00";"";"";"-31.8935";"115.2415";"Climate Change 1989-1997";"4738";"25";"24.1";""
"FR199503";"2";"1995-04-01 04:05:00";"";"";"-31.8935";"115.2415";"Climate Change 1989-1997";"4738";"30";"24.1";""
"FR199503";"2";"1995-04-01 04:05:00";"";"";"-31.8935";"115.2415";"Climate Change 1989-1997";"4738";"35";"24.1";""
"FR199503";"2";"1995-04-01 04:05:00";"";"";"-31.8935";"115.2415";"Climate Change 1989-1997";"4738";"40";"24";""
"FR199503";"2";"1995-04-01 04:05:00";"";"";"-31.8935";"115.2415";"Climate Change 1989-1997";"4738";"45";"24";""
"FR199503";"2";"1995-04-01 04:05:00";"";"";"-31.8935";"115.2415";"Climate Change 1989-1997";"4738";"50";"24";""
"FR199503";"2";"1995-04-01 04:05:00";"";"";"-31.8935";"115.2415";"Climate Change 1989-1997";"4738";"55";"23.6";""
"FR199503";"2";"1995-04-01 04:05:00";"";"";"-31.8935";"115.2415";"Climate Change 1989-1997";"4738";"60";"23.1";""
