"Depth";"Temperature";""
"4.0";"24.575";""
"14.5";"24.57";""
"19.0";"24.15";""
"29.0";"23.97";""
"32.5";"24.05";""
"46.0";"23.73";""
"55.5";"23.645";""
"67.5";"23.725";""
"85.0";"23.455";""
"93.0";"23.05";""
"113.5";"22.72";""
"127.0";"21.99";""
"148.0";"21.7";""
"159.5";"20.32";""
"186.0";"19.38";""
"196.0";"19.31";""
"205.0";"18.555";""
"225.0";"18.425";""
"235.0";"17.825";""
"245.5";"17.565";""
"289.0";"17.035";""
"317.0";"16.3";""
"320.5";"16.005";""
"329.5";"15.95";""
"333.5";"15.565";""
"365.0";"14.55";""
"371.5";"13.505";""
"378.5";"13.495";""
"381.0";"13.705";""
"450.5";"14.205";""
